url,status,title,tlen,desc,dlen,h1,h1n,h2n,canon,robots,jsonld,imgs,noalt,words,bytes
https://kawaguchitenrei.com/,200,川口市の葬儀・葬儀社なら川口典礼 | 創業20年・24時間365日対応,35,"川口市・新井宿で葬儀・家族葬なら、創業20年・年間約260件の川口典礼。24時間365日受付。自社式場・川口メモリアルホール(駐車場70台)から川口市めぐりの森まで車で約5分。直葬は事前相談会員価格139,000円(税込)〜、一日葬・火葬式・市民葬までご相談を承ります。",135,川口市・新井宿で家族葬・直葬をお考えの方へ。,1,14,https://kawaguchitenrei.com/,,4,137,0,24845,1295861
https://kawaguchitenrei.com/plan/,200,葬儀プラン一覧 | 川口典礼,14,川口典礼の直葬・花入れお別れ・一日葬・家族葬・市民葬の各プランをご紹介します。費用や対応形式の比較、向いている方の目安もあわせてご確認いただけます。,74,ご希望に合わせて選べる、5つの葬儀形式。,1,5,https://kawaguchitenrei.com/plan/,,4,5,0,3285,110261
https://kawaguchitenrei.com/area/,200,対応エリア一覧｜川口市・近隣の葬儀・家族葬｜川口典礼,26,川口典礼の対応エリア一覧。川口市内（新井宿・川口元郷・芝・青木ほか）と鳩ヶ谷・西川口・東川口・安行など近隣エリアごとに、葬儀・家族葬・直葬・一日葬のご相談に対応しています。地域の式場・火葬場へのアクセスもご案内します。,109,川口市・近隣の対応エリア,1,2,https://kawaguchitenrei.com/area/,,4,0,0,1977,65663
https://kawaguchitenrei.com/area/kawaguchi/,200,川口市の葬儀ガイド | 費用の目安・市民葬・式場と流れ | 川口典礼,34,川口市で葬儀・葬儀社をお探しの方へ。費用の目安、川口市民葬(葬祭事業)などの公的制度、式場・川口市めぐりの森での火葬までの流れを、創業20年・年間約260件の川口典礼がご案内します。駐車場70台・24時間365日受付。,109,川口市で葬儀をお考えの方へ,1,12,https://kawaguchitenrei.com/area/kawaguchi/,,6,9,0,7123,189318
https://kawaguchitenrei.com/area/kawaguchi-ekimae/,200,川口駅周辺の葬儀・家族葬 | 本町・栄町の寺院会館・川口メモリアルホール | 川口典礼,43,川口駅周辺(本町・栄町など)で葬儀・家族葬・直葬・一日葬をお考えの方へ。お住まいの近くの寺院会館・式場のご利用から、火葬場(川口市めぐりの森)に近い川口メモリアルホールでのお別れまで、ご希望に合わせて川口典礼がサポートします。,113,川口駅・本町周辺の皆様へ、心を込めて。,1,10,https://kawaguchitenrei.com/area/kawaguchi-ekimae/,,6,10,0,5402,153140
https://kawaguchitenrei.com/area/araijuku/,200,新井宿の葬儀・家族葬 | 川口市新井宿周辺で葬儀をお考えの方へ | 川口典礼,38,川口市新井宿周辺で葬儀・家族葬・直葬・一日葬をお考えの方へ。川口典礼では、自社式場の川口メモリアルホールを中心に、搬送・安置・ご葬儀・めぐりの森での火葬まで一貫してサポートします。,90,川口市新井宿周辺の皆様へ、心を込めて。,1,10,https://kawaguchitenrei.com/area/araijuku/,,6,10,0,5175,155646
https://kawaguchitenrei.com/area/hatogaya/,200,鳩ヶ谷の葬儀・家族葬 | 川口市鳩ヶ谷周辺で葬儀をお考えの方へ | 川口典礼,38,川口市鳩ヶ谷・南鳩ヶ谷周辺で葬儀・家族葬・直葬・一日葬をお考えの方へ。川口典礼では、搬送・安置・ご葬儀・火葬場利用の手配まで、状況に合わせて一貫してサポートします。,82,川口市鳩ヶ谷周辺の皆様へ、丁寧なお別れを。,1,10,https://kawaguchitenrei.com/area/hatogaya/,,6,10,0,5197,155599
https://kawaguchitenrei.com/area/nishikawaguchi/,200,西川口の葬儀・家族葬 | 川口市西川口周辺で葬儀をお考えの方へ | 川口典礼,38,川口市西川口周辺で葬儀・家族葬・直葬・一日葬をお考えの方へ。川口典礼では、搬送・安置・ご葬儀・川口市めぐりの森での火葬まで、状況に合わせて一貫してサポートします。,81,川口市西川口周辺の皆様へ、安心のお別れを。,1,10,https://kawaguchitenrei.com/area/nishikawaguchi/,,6,10,0,4706,143857
https://kawaguchitenrei.com/area/higashikawaguchi/,200,東川口の葬儀・家族葬 | 川口市東川口周辺で葬儀をお考えの方へ | 川口典礼,38,川口市東川口周辺で葬儀・家族葬・直葬・一日葬をお考えの方へ。川口典礼では、搬送・安置・ご葬儀・川口市めぐりの森での火葬まで、状況に合わせて一貫してサポートします。,81,川口市東川口周辺の皆様へ、心を込めて。,1,10,https://kawaguchitenrei.com/area/higashikawaguchi/,,6,10,0,4741,144024
https://kawaguchitenrei.com/area/kawaguchi-motogo/,200,川口元郷の葬儀・家族葬 | 川口市元郷周辺で葬儀をお考えの方へ | 川口典礼,38,川口市元郷周辺で葬儀・家族葬・直葬・一日葬をお考えの方へ。川口典礼では、搬送・安置・ご葬儀・川口市めぐりの森での火葬まで、状況に合わせて一貫してサポートします。,80,川口市元郷周辺の皆様へ、丁寧なお別れを。,1,10,https://kawaguchitenrei.com/area/kawaguchi-motogo/,,6,10,0,4727,143941
